Line,Timestamp,Passengers,Gone_up,Went_down
11,1543137032,1,0,0
11,1543137180,1,0,0
11,1543137329,3,2,0
11,1543137379,4,1,0
11,1543137432,4,0,0
11,1543137508,5,1,0
11,1543137540,6,1,0
11,1543137579,6,0,0
11,1543137622,6,0,0
11,1543137655,5,0,1
11,1543137720,5,0,0
11,1543137780,7,2,0
11,1543137829,8,1,0
11,1543137873,8,0,0
11,1543137905,8,0,0
11,1543138020,9,2,1
11,1543138080,9,0,0
11,1543138200,13,6,2
11,1543138260,13,0,0
11,1543138384,13,1,1
11,1543138440,13,1,1
11,1543138500,23,15,5
11,1543138692,23,0,0
11,1543138744,26,3,0
11,1543138800,27,2,1
11,1543138890,19,0,8
11,1543138920,17,0,2
11,1543138966,17,0,0
11,1543139040,16,1,2
11,1543139073,17,1,0
11,1543139108,16,0,1
11,1543139132,14,0,2
11,1543139206,14,0,0
11,1543139243,9,2,7
11,1543139280,9,0,0
11,1543139329,9,0,0
11,1543139381,9,0,0
11,1543139400,9,0,0
11,1543139556,7,0,2
11,1543139580,0,0,7
11,1543140300,6,6,0
11,1543140355,9,3,0
11,1543140540,9,0,0
11,1543140568,10,1,0
11,1543140629,10,0,0
11,1543140660,10,0,0
11,1543140696,10,0,0
11,1543140721,10,0,0
11,1543140739,10,0,0
11,1543140817,9,0,1
11,1543140859,18,9,0
11,1543140881,22,4,0
11,1543140932,27,5,0
11,1543140960,27,0,0
11,1543140999,27,0,0
11,1543141020,31,4,0
11,1543141039,31,0,0
11,1543141140,28,0,3
11,1543141187,27,2,3
11,1543141440,37,20,10
11,1543141500,39,2,0
11,1543141586,38,0,1
11,1543141680,41,3,0
11,1543141740,44,4,1
11,1543141860,50,8,2
11,1543141920,65,20,5
11,1543141981,64,0,1
11,1543142023,63,0,1
11,1543142047,63,0,0
11,1543142091,63,0,0
11,1543142138,63,0,0
11,1543142160,58,0,5
11,1543142203,58,0,0
11,1543142239,58,0,0
11,1543142280,58,0,0
11,1543142333,58,0,0
11,1543142385,58,0,0
11,1543142430,58,0,0
11,1543142455,58,0,0
11,1543142540,58,0,0
11,1543142596,0,0,58
11,1543142640,0,0,0
11,1543142700,0,0,0
11,1543142710,0,0,0
11,1543142732,0,0,0
11,1543142747,0,0,0
11,1543142771,0,0,0
11,1543142793,0,0,0
11,1543142820,0,0,0
11,1543143300,0,0,0
11,1543143340,0,0,0
11,1543143369,0,0,0
11,1543143404,0,0,0
11,1543143432,0,0,0
11,1543143452,0,0,0
11,1543143480,0,0,0
11,1543143524,0,0,0
11,1543143682,0,0,0
11,1543143720,0,0,0
11,1543143759,0,0,0
11,1543143816,0,0,0
11,1543143840,0,0,0
11,1543143879,0,0,0
11,1543143922,0,0,0
11,1543143955,0,0,0
11,1543144020,0,0,0
11,1543144080,0,0,0
11,1543144129,22,22,0
11,1543144173,23,1,0
11,1543144205,23,0,0
11,1543144320,17,3,9
11,1543144380,12,0,5
11,1543144500,12,1,1
11,1543144560,14,2,0
11,1543144684,18,4,0
11,1543144740,18,0,0
11,1543144800,38,20,0
11,1543144992,39,2,1
11,1543145044,39,1,1
11,1543145100,44,5,0
11,1543145190,41,0,3
11,1543145220,41,0,0
11,1543145266,39,3,5
11,1543145340,39,0,0
11,1543145373,39,0,0
11,1543145408,38,0,1
11,1543145432,13,0,25
11,1543145506,13,0,0
11,1543145543,13,0,0
11,1543145580,13,0,0
11,1543145610,13,0,0
11,1543145632,13,0,0
11,1543145652,13,0,0
11,1543145674,2,0,11
11,1543145703,2,0,0
11,1543145732,2,0,0
11,1543145760,0,0,2
11,1543146780,1,1,0
11,1543146816,1,0,0
11,1543146840,1,0,0
11,1543146870,1,0,0
11,1543146891,-4,0,5
11,1543146919,-4,0,0
11,1543146942,-4,0,0
11,1543146960,-4,0,0
11,1543146996,-4,0,0
11,1543147021,-4,0,0
11,1543147039,-4,0,0
11,1543147117,-4,0,0
11,1543147159,-4,0,0
11,1543147181,-2,2,0
11,1543147232,-1,2,1
11,1543147260,5,6,0
11,1543147299,5,0,0
11,1543147320,10,5,0
11,1543147339,18,8,0
11,1543147440,18,2,2
11,1543147487,22,4,0
11,1543147740,14,0,8
11,1543147800,17,3,0
11,1543147886,17,0,0
11,1543147980,17,0,0
11,1543148040,15,2,4
11,1543148160,15,4,4
11,1543148220,36,21,0
11,1543148281,35,0,1
11,1543148323,36,2,1
11,1543148347,36,2,2
11,1543148391,37,3,2
11,1543148438,36,0,1
11,1543148460,31,0,5
11,1543148503,29,0,2
11,1543148539,29,0,0
11,1543148580,28,2,3
11,1543148627,28,0,0
11,1543148674,26,0,2
11,1543148713,25,0,1
11,1543148735,25,0,0
11,1543148880,25,0,0
11,1543149003,5,0,20
11,1543149060,2,0,3
11,1543149120,0,0,2
11,1543149145,0,0,0
11,1543149190,0,0,0
11,1543149240,0,0,0
11,1543149600,2,2,0
11,1543149632,22,20,0
11,1543149780,22,0,0
11,1543149929,22,0,0
11,1543149979,24,2,0
11,1543150032,26,2,0
11,1543150108,26,0,0
11,1543150140,28,2,0
11,1543150179,28,0,0
11,1543150222,28,0,0
11,1543150255,28,0,0
11,1543150320,28,0,0
11,1543150380,28,0,0
11,1543150429,32,4,0
11,1543150473,28,0,4
11,1543150505,30,2,0
11,1543150620,34,8,4
11,1543150680,31,0,3
11,1543150800,33,4,2
11,1543150860,30,0,3
11,1543150984,30,1,1
11,1543151040,28,1,3
11,1543151100,40,15,3
11,1543151292,40,1,1
11,1543151344,39,2,3
11,1543151400,38,2,3
11,1543151490,38,0,0
11,1543151520,38,0,0
11,1543151566,38,0,0
11,1543151640,37,0,1
11,1543151673,36,1,2
11,1543151708,35,0,1
11,1543151732,25,0,10
11,1543151806,25,0,0
11,1543151843,22,0,3
11,1543151880,19,0,3
11,1543151929,19,0,0
11,1543151981,19,0,0
11,1543152000,16,0,3
11,1543152156,10,0,6
11,1543152180,0,0,10
11,1543152840,12,12,0
11,1543152909,14,2,0
11,1543153140,14,0,0
11,1543153168,14,0,0
11,1543153229,16,2,0
11,1543153260,15,0,1
11,1543153296,14,0,1
11,1543153321,15,1,0
11,1543153339,15,0,0
11,1543153417,15,0,0
11,1543153459,15,0,0
11,1543153481,15,0,0
11,1543153532,15,0,0
11,1543153560,16,2,1
11,1543153638,16,0,0
11,1543153680,16,0,0
11,1543153699,18,2,0
11,1543153800,17,2,3
11,1543153847,16,0,1
11,1543154100,14,4,6
11,1543154160,14,0,0
11,1543154246,16,2,0
11,1543154340,16,1,1
11,1543154400,17,3,2
11,1543154520,17,0,0
11,1543154580,0,0,17
11,1543154671,0,0,0
11,1543154735,0,0,0
11,1543154771,0,0,0
11,1543154836,0,0,0
11,1543154907,0,0,0
11,1543154940,0,0,0
11,1543155004,0,0,0
11,1543155059,0,0,0
11,1543155120,0,0,0
11,1543155173,0,0,0
11,1543155225,0,0,0
11,1543155270,0,0,0
11,1543155295,0,0,0
11,1543155380,0,0,0
11,1543155436,0,0,0
11,1543155480,0,0,0
11,1543155540,0,0,0
11,1543155555,0,0,0
11,1543155587,0,0,0
11,1543155610,0,0,0
11,1543155646,0,0,0
11,1543155679,0,0,0
11,1543155720,0,0,0
11,1543156620,1,1,0
11,1543156673,1,0,0
11,1543156712,1,0,0
11,1543156759,1,0,0
11,1543156796,1,2,2
11,1543156822,1,0,0
11,1543156860,19,18,0
11,1543156904,39,20,0
11,1543157062,39,0,0
11,1543157100,41,2,0
11,1543157139,41,0,0
11,1543157196,41,0,0
11,1543157220,40,0,1
11,1543157272,40,0,0
11,1543157329,42,2,0
11,1543157373,42,0,0
11,1543157460,42,1,1
11,1543157532,44,3,1
11,1543157591,44,0,0
11,1543157644,42,3,5
11,1543157682,42,1,1
11,1543157820,29,3,16
11,1543157880,44,15,0
11,1543158000,41,4,7
11,1543158060,42,1,0
11,1543158184,42,0,0
11,1543158240,42,0,0
11,1543158300,37,15,20
11,1543158492,38,1,0
11,1543158544,35,0,3
11,1543158600,35,3,3
11,1543158690,33,0,2
11,1543158720,33,0,0
11,1543158766,32,0,1
11,1543158840,25,0,7
11,1543158873,24,1,2
11,1543158908,18,0,6
11,1543158932,14,0,4
11,1543159006,15,1,0
11,1543159043,13,0,2
11,1543159080,11,0,2
